airline_sentiment,text
negative,ok month waiting hear airline gave quite bit day requested terrible service
negative,process ever end still waiting reply since month pathetic customerservice
negative,whats going website im flight booking problem three ticket today ive booted system umpteen time
negative,get account number website say email unavailable
neutral,need book two one way order fly unaccompanied minor
negative,received bag last night still missing one
negative,youll need upgrade seat even economy plus like sitting concrete bench
neutral,pls help baby hannah get life saving surgery requiresshe need helppls donatehttptcokqnrrpa
neutral,bet wont honour like mine ey
negative,nd flight also delayed pilot boarded sit scheduling
neutral,guess thats much ask huh
negative,hard stay upset someone least try show remorse
negative,way simple apology go long way even hollow one obvious dont care wellbeing
negative,isnt one time thing either shocking pattern repeated neglect disrespect
negative,finger crossed amp intact disappointed experience actually saying enjoyed using
negative,incredibly easy fix would rather stay comfort zone get forced mine
negative,july zero excuse outofdate system cause problem like
negative,everyone around u sitting friend family member booked ticket october december bought
negative,sure talking going nonstop flight sna sfo sfo ewr
negative,im moving talk service
neutral,please good weekend
negative,asked legitimate question systemwide v localized problem got back unrelate flightd copypaste better
negative,time call need ski go airport get faith united
negative,see guy amazing one company continually make mistake yet fails held accountable error
neutral,tourist wonder super tide tide century french uk coast httptcogxdqortss
negative,yeah sorry there always problem united international reputation problem
neutral,yall probably work
negative,maybe _sd_ks_ia would care hear went whoever listens issue caused
negative,wonder sharing fb insta would produce number character really limit story telling
negative,youre telling number call left airport negligent pilot staff
negative,could email resent doesnt appear arrived
neutral,yes please trying get pop newark
negative,follow order dmcome
negative,united coupon make broken entertainment system hour flight seriously ridiculousness learncustomerservice
negative,didnt drop bag overnight amp im leaving week supposed hold bag
negative,dm detail still response book today
neutral,know probably way get cheaper airfare ticket flight leaving hour
neutral,someone please explain process happens property found plane passenger leave heathrow
negative,able dm confirmation number
negative,ive sent message let know got im twitterliterate also really going stuck hr
negative,unhappy response complaint emailed nd feb ref awful customer service
neutral,dm work
positive,private jet would cool work ill try
negative,given option using united travelbank recent flight booking problem help using recouping fund thanks
negative,common keep paper work ready dont delay flightsand meeting
neutral,yulord
negative,yep thats correct got email flight cancelled flightled doesnt matter flight atl delayed thx
negative,k problem getting fll iah sent dm making connection please let know
neutral,done done
positive,thanks sent
negative,im grounded montreal ua missing connection ua st louis helpdo private jet
negative,im frustrated nervous
negative,one make difficult
negative,im child im someone issue flying prepares ahead time reduce distress caused plane
negative,get cancelled flightled hour take
negative,always happens guy make traveling incredibly stressful uncomfortable good business
negative,someone severe anxiety one person help isnt next
negative,im seeking go client bc u cant get need refund filled form confident work past indication
neutral,thnx response bot seems improvement could easily attained st class service really worth
positive,unrivalled access california flight u uk airport nonstop onestop connection yearround
neutral,booked award tix thaiairways im seeing conf united flight booking problem get get thai
negative,luckily made flight time disappointed lack communication
negative,checking see flight atlord got cancelled flighted
negative,service far horrid wanted end trip high note guess thats option
negative,booked flight home month ago requested seat together fiancée got middle seat unacceptable
negative,guy horrible
positive,thnx info
negative,pay wifi international business ticket pennypincher
negative,ok top thing youve lost luggage could get worse unitedairlines
positive,kudos cancelled flightling flight dfw morning united usually first panic
negative,luggage broken youcouldntmakethis brokenwheel
neutral,flight dfw ord currently ontime see advisory dfw may affected weather
negative,maybe one day youll one quoted httptcomjkpgvxmpc
negative,flight delayedno one remembered turn heat flight leaving ordseriously
positive,another awesome new plane flight extremely nice captain steve connolly
negative,speak real person get resolved politely efficiently
negative,hadnt filed refund claim told charge dm disputed bank hence would like
